Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,UpdateCo2,1768056907.276760,61,0,1
1,UpdateCFP,1768056907.276823,1365,0,1
1,UpdateCFP,1768056907.278194,984,0,1
1,UpdateCFP,1768056907.279185,906,0,1
1,UpdateCFP,1768056907.280098,871,0,1
1,UpdateCFP,1768056907.280977,1125,0,1
2,UpdateCo2,1768056907.282109,59,0,1
2,UpdateCo2,1768056907.282170,62,0,1
1,UpdateCFP,1768056907.282235,914,0,1
2,UpdateCo2,1768056907.283154,57,0,1
2,UpdateCo2,1768056907.283213,72,0,1
2,UpdateCo2,1768056907.283288,59,0,1
2,UpdateCo2,1768056907.283349,58,0,1
1,UpdateCFP,1768056907.283411,1045,0,1
2,UpdateCo2,1768056907.284463,60,0,1
1,UpdateCFP,1768056907.284525,813,0,1
2,UpdateCo2,1768056907.285344,58,0,1
2,UpdateCo2,1768056907.285404,62,0,1
1,UpdateCFP,1768056907.285468,895,0,1
1,UpdateCFP,1768056907.286369,854,0,1
2,UpdateCo2,1768056907.287230,67,0,1
1,UpdateCFP,1768056907.287300,1074,0,1
2,UpdateCo2,1768056907.288381,65,0,1
2,UpdateCo2,1768056907.288448,58,0,1
2,UpdateCo2,1768056907.288508,63,0,1
2,UpdateCo2,1768056907.288573,58,0,1
1,UpdateCFP,1768056907.288633,754,0,1
1,UpdateCFP,1768056907.289393,899,0,1
2,UpdateCo2,1768056907.290298,70,0,1
1,UpdateCFP,1768056907.290371,816,0,1
1,UpdateCFP,1768056907.291193,798,0,1
1,UpdateCFP,1768056907.291997,969,0,1
2,UpdateCo2,1768056907.292973,58,0,1
1,UpdateCFP,1768056907.293032,964,0,1
1,UpdateCFP,1768056907.294003,943,0,1
1,UpdateCFP,1768056907.294953,1800,0,1
1,UpdateCFP,1768056907.296761,1348,0,1
2,UpdateCo2,1768056907.298117,73,0,1
1,UpdateCFP,1768056907.298193,1052,0,1
1,UpdateCFP,1768056907.299251,1079,0,1
1,UpdateCFP,1768056907.300338,1008,0,1
2,UpdateCo2,1768056907.301354,58,0,1
2,UpdateCo2,1768056907.301414,61,0,1
1,UpdateCFP,1768056907.301477,899,0,1
2,UpdateCo2,1768056907.302382,58,0,1
2,UpdateCo2,1768056907.302442,63,0,1
1,UpdateCFP,1768056907.302508,1041,0,1
1,UpdateCFP,1768056907.303555,1035,0,1
1,UpdateCFP,1768056907.304596,989,0,1
2,UpdateCo2,1768056907.305592,59,0,1
1,UpdateCFP,1768056907.305652,1067,0,1
1,UpdateCFP,1768056907.306726,1239,0,1
2,UpdateCo2,1768056907.307971,64,0,1
2,UpdateCo2,1768056907.308038,58,0,1
1,UpdateCFP,1768056907.308097,1240,0,1
1,UpdateCFP,1768056907.309345,957,0,1
2,UpdateCo2,1768056907.310309,76,0,1
2,UpdateCo2,1768056907.310388,58,0,1
1,UpdateCFP,1768056907.310447,927,0,1
2,UpdateCo2,1768056907.311381,65,0,1
1,UpdateCFP,1768056907.311448,1083,0,1
2,UpdateCo2,1768056907.312538,60,0,1
1,UpdateCFP,1768056907.312602,955,0,1
1,UpdateCFP,1768056907.313562,998,0,1
2,UpdateCo2,1768056907.314566,64,0,1
1,UpdateCFP,1768056907.314633,1093,0,1
1,UpdateCFP,1768056907.315732,1330,0,1
1,UpdateCFP,1768056907.317068,1084,0,1
2,UpdateCo2,1768056907.318159,58,0,1
2,UpdateCo2,1768056907.318219,65,0,1
1,UpdateCFP,1768056907.318287,1136,0,1
1,UpdateCFP,1768056907.319428,892,0,1
1,UpdateCFP,1768056907.320326,980,0,1
2,UpdateCo2,1768056907.321312,59,0,1
1,UpdateCFP,1768056907.321373,1158,0,1
2,UpdateCo2,1768056907.322537,58,0,1
2,UpdateCo2,1768056907.322598,62,0,1
2,UpdateCo2,1768056907.322662,68,0,1
2,UpdateCo2,1768056907.322732,77,0,1
1,UpdateCFP,1768056907.322813,740,0,1
1,UpdateCFP,1768056907.323557,1355,0,1
2,UpdateCo2,1768056907.324919,59,0,1
1,UpdateCFP,1768056907.324981,931,0,1
1,UpdateCFP,1768056907.325917,1297,0,1
2,UpdateCo2,1768056907.327221,82,0,1
2,UpdateCo2,1768056907.327307,61,0,1
2,UpdateCo2,1768056907.327370,61,0,1
1,UpdateCFP,1768056907.327433,961,0,1
1,UpdateCFP,1768056907.328400,1024,0,1
1,UpdateCFP,1768056907.329430,1005,0,1
2,UpdateCo2,1768056907.330441,58,0,1
1,UpdateCFP,1768056907.330502,910,0,1
1,UpdateCFP,1768056907.331417,972,0,1
1,UpdateCFP,1768056907.332395,791,0,1
2,UpdateCo2,1768056907.333192,76,0,1
1,UpdateCFP,1768056907.333271,878,0,1
2,UpdateCo2,1768056907.334155,57,0,1
1,UpdateCFP,1768056907.334214,813,0,1
1,UpdateCFP,1768056907.335033,813,0,1
2,UpdateCo2,1768056907.335851,67,0,1
2,UpdateCo2,1768056907.335922,57,0,1
1,UpdateCFP,1768056907.335980,708,0,1
